Name,Category,Brand,serve size ,Unit,energy kg,protein gm,fat gm,carbohydrate gm,sugar gm,Dietary fibre,sodium mg
Nestle Milo Cereal ,Cereals,Nestle,30,gm,480,2.7,1.4,21.5,8.1,2.4,34
Uncle Tobys Plus Antioxidant Cereal,Cereals,Uncle Tobys,40,gm,595,2.9,0.6,28.1,8.5,4.5,80
Uncle TobysVita Brits,Cereals,Uncle Tobys,33,gm,490,3.3,0.6,22.3,0.1,4.2,130
Coles Cocoa Hazelnut & Almond Clusters,Cereals,Coles,45,gm,792,4.7,4.7,30.1,8.7,3.2,95
Jordans Simply Crunchy Oat Granola,Cereals,Jordans,45,gm,790,4.3,5.7,27.8,7.7,4.5,5
Jordans Crispy Oat Clusters Strawberry,Cereals,Jordans,45,gm,842,3.6,6.7,29.9,9.4,2.9,5
Dorset Berry Granola,Cereals,Dorset,45,gm,906,4.9,10.5,24.4,6.7,2.6,90
Uncle Tobys Plus Cranberry & Hazelnut Clusters,Cereals,Uncle Tobys,45,gm,770,3.1,5,28.8,9.9,5.1,51
Uncle Tobys Plus Almond & Pepita Clusters,Cereals,Uncle Tobys,45,gm,810,3.9,6.2,28,9.3,4,50
Be Natural Coconut Spelt & Fig Coco-nutty Granola Cereal,Cereals,Be Natural,40,gm,700,4.2,5.7,22.8,6.6,4.1,66
Dick Smith Bush Food Cereal,Cereals,Dick Smith,45,gm,697,3.5,3.4,32.4,9.3,3.4,51
Coles Cashew Peanut & Honey Clusters,Cereals,Coles,45,gm,816,5,6,30,8,3,117
Sanitarium Weet-bix Cereal,Cereals,Sanitarium ,36,gm,529,3.8,1.7,21.9,1,3.5,91
Be Natural 5 Whole Grain Flakes Cereal,Cereals,Be Natural,40,gm,610,3.9,0.6,28.4,4.8,4.6,98
Nestle Nesquik Cereal +125 ml semi-skimmed milk,Cereals,Nestle,30,gm,722,7.2,2.7,28,10,2.9,28
Be Natural Cashew Almond Hazelnut & Coconut Cereal,Cereals,Be Natural,35,gm,610,4.4,5.2,17.4,4.2,6,68
Be Natural Granola Coco-Nutty Almond Spelt & Cinnamon,Cereals,Be Natural,40,gm,720,4.5,6.4,22.2,6.8,4,70
Kellogg's All Bran Wheat Flakes,Cereals,Kellog's,40,gm,580,4.7,0.8,23.8,4.6,7.7,148
Nestle Milo Duo Cereal,Cereals,Nestle,30,gm,490,2.4,1.4,22,8.3,2.2,29
Kellogg's Coco Pops,Cereals,Kellog's,30,gm,480,1.4,0.1,26.4,11,0.5,127
Kellogg's Sultana Bran,Cereals,Kellog's,45,gm,630,4.3,0.8,28,12.7,7,121
Kellogg's Special K,Cereals,Kellog's,40,gm,640,7,0.9,27.8,5.4,2.6,152
Kellogg's Corn Flakes,Cereals,Kellog's,35,gm,540,2.7,0.1,28.5,2.7,1.4,183
Kellogg's Rice Bubbles,Cereals,Kellog's,35,gm,560,2.8,0.2,29.4,3,0.8,145
Kellogg's Nutri Grain To Go Flavour,Cereals,Kellog's,140,gm,590,5.6,4.2,18.8,12.7,2.1,62
Kellogg's Just Right,Cereals,Kellog's,40,gm,590,3.4,0.7,27.8,11.5,4.1,12
Daily juice Nourish Apple Tomato Capsicum & Black Carrot,Beverage,Daily Juice,200,ml,312,0.6,1,17,15.6,0.6,10
Original Juice Co.Orange Juice Pulp Free,Beverage,Original Juice,200,ml,340,1.6,0.6,17,15,1.2,16
Original Juice Co.Orange Juice,Beverage,Original Juice,200,ml,356,1.6,0.6,18,16,1.2,14
Nudie Nothing But 100% Fresh Apple & Blackcurrant Juice,Beverage,Nudie,250,ml,631,0.5,0.6,30.2,26.6,0.6,4.5
The Juice Brothers Orange,Beverage,Juice Brothers,200,ml,328,1,0.6,17.4,16.2,1.2,2
Fruits & Roots Apple Pear & Spinach Juice,Beverage,Fruits & Roots,250,ml,467,0.7,0.2,26,23.7,0.8,45
Boost Energy Lift Juice Chilled,Beverage,Boost,200,ml,371,0.3,0.6,21.1,21.1,0.6,16
NudieNothing But Tropical Breakfast Juice,Beverage,Nudie,250,ml,687,1.4,0.6,27.7,24.7,0.6,4.5
Mildura Orange & Passionfruit Fruit Drink,Beverage,Mildura,201,ml,313,0,0,19,18,0,16
The Juice Lab Gimme Green Pressed Juice Chilled,Beverage,The Juice Lab,400,ml,769,1.8,0.5,40.7,39.7,3.6,15
NudieNothing But 9 Veggies Fruity Goodness Juice Chilled,Beverage,Nudie,250,ml,300,1.2,0.6,17.5,14.5,3,16
